,Neighbourhood,Sex Offences,Assaults,Robbery,B&E,Theft of MV,Theft from Auto,Theft >$5K,Arson,Mischief,Offensive Weapons,date
0,Arbutus Ridge,1,1,0,5,1,4,4,0,6,0,2023-01-01
1,Central Business District,14,158,18,55,6,185,240,6,220,22,2023-01-01
2,Dunbar - Southlands,0,2,1,4,1,4,5,0,5,0,2023-01-01
3,Fairview,1,11,0,13,3,25,46,0,26,1,2023-01-01
4,Grandview - Woodland,4,18,4,21,7,41,31,0,21,4,2023-01-01
5,Hastings - Sunrise,3,6,1,12,5,19,15,2,15,2,2023-01-01
6,Kensington - Cedar Cottage,3,11,1,14,7,39,28,2,24,2,2023-01-01
7,Kerrisdale,0,5,0,5,0,1,6,0,2,0,2023-01-01
8,Killarney,1,10,1,2,3,25,17,0,10,1,2023-01-01
9,Kitsilano,2,4,0,19,2,22,27,0,9,1,2023-01-01
10,Marpole,0,9,1,9,0,12,18,2,3,0,2023-01-01
11,Mount Pleasant,3,22,2,23,7,29,80,0,29,5,2023-01-01
12,Musqueam,0,4,0,0,0,0,0,0,0,0,2023-01-01
13,Oakridge,1,3,0,2,0,7,8,0,5,1,2023-01-01
14,Renfrew - Collingwood,3,14,5,10,2,35,87,0,13,1,2023-01-01
15,Riley Park,2,4,0,8,2,13,18,0,15,1,2023-01-01
16,Shaughnessy,1,1,0,5,0,3,3,0,2,0,2023-01-01
17,South Cambie,1,5,0,3,1,6,9,0,7,0,2023-01-01
18,Stanley Park,0,1,1,1,0,2,1,1,1,0,2023-01-01
19,Strathcona,3,63,6,17,5,39,44,1,30,7,2023-01-01
20,Sunset,2,8,2,3,4,36,71,2,9,1,2023-01-01
21,Victoria - Fraserview,0,6,0,5,5,16,14,1,4,0,2023-01-01
22,West End,4,29,5,29,3,54,45,2,31,0,2023-01-01
23,West Point Grey,1,3,0,3,1,11,4,0,4,0,2023-01-01
24,GRAND TOTAL,50,398,48,268,65,628,821,19,491,49,2023-01-01
25,Arbutus Ridge,0,1,1,5,0,5,3,0,4,0,2023-02-01
26,Central Business District,10,131,11,51,8,175,327,6,196,22,2023-02-01
27,Dunbar - Southlands,3,3,0,4,1,3,10,0,7,0,2023-02-01
28,Fairview,2,9,0,16,4,21,62,1,19,0,2023-02-01
29,Grandview - Woodland,2,14,5,23,8,27,34,2,19,5,2023-02-01
30,Hastings - Sunrise,1,3,1,8,8,14,13,0,9,1,2023-02-01
31,Kensington - Cedar Cottage,4,14,1,8,4,18,30,0,14,1,2023-02-01
32,Kerrisdale,1,1,0,7,0,5,10,0,1,0,2023-02-01
33,Killarney,1,6,1,2,5,12,11,0,9,1,2023-02-01
34,Kitsilano,1,4,2,16,0,22,31,1,15,1,2023-02-01
35,Marpole,0,7,2,11,1,17,12,1,7,0,2023-02-01
36,Mount Pleasant,0,20,0,11,6,16,74,3,16,2,2023-02-01
37,Musqueam,0,0,0,1,0,0,0,0,0,0,2023-02-01
38,Oakridge,0,3,0,5,2,4,4,0,1,0,2023-02-01
39,Renfrew - Collingwood,5,12,4,3,7,30,144,0,8,1,2023-02-01
40,Riley Park,3,3,0,6,3,11,12,0,3,0,2023-02-01
41,Shaughnessy,1,1,0,6,1,1,6,0,2,0,2023-02-01
42,South Cambie,0,3,0,1,0,1,10,0,3,0,2023-02-01
43,Stanley Park,0,0,0,0,0,2,0,0,0,0,2023-02-01
